lfd;Kurzform;Ortsname_BadWB;Lat;Lon
1;Aach;Aach;47.8441308;8.8519587
2;Aach-Linz;Aach-Linz;47.9107959;9.2025271
3;Aasen;Aasen;47.9814048;8.5540881
4;Achd.;Achdorf;47.8372519;8.5007404
5;Achern;Achern;48.63115;8.07607
6;Achkarren;Achkarren;48.0676579;7.6258617
7;Adelhsn;Adelhausen;47.6136076;7.7595581
8;Adelsbg;Adelsberg;47.7178982;7.8368646
9;Adelshm;Adelsheim;49.4053706;9.3903482
10;Adelshfn;Adelshofen;49.16888;8.8911
11;Adersb.;Adersbach;49.2630032;8.955414
12;Affent.;Affental;48.7067705;8.1605392
13;Aftersteg;Aftersteg;47.8431922;7.9250039
14;Aftholderbg;Aftholderberg;47.8984569;9.2425825
15;Aglasterhsn;Aglasterhausen;49.3555418;8.9888513
16;Aha;Aha;47.8333468;8.133505
17;Ahsn;Ahausen;47.7251067;9.323063
18;Aichen;Aichen;47.6756422;8.2617198
19;Aitern;Aitern;47.8017981;7.9011657
20;Albbruck;Albbruck;47.5943254;8.1336893
21;Allemühl;Allemühl;49.4260725;8.9565852
22;Allensb.;Allensbach;47.7168668;9.0687005
23;Allf.;Allfeld;49.3239666;9.2400849
24;Allmannsd.;Allmannsdorf;47.6833627;9.2000867
25;Allmannsw.;Allmannsweier;48.3671735;7.7834976
26;Allmendshfn;Allmendshofen;47.9400244;8.5005812
27;Altd.;Altdorf;48.2654;7.81591
28;Altenb.;Altenbach;49.4870474;8.7387907
29;Altenburg;Altenburg;47.6561688;8.6029299
30;Altenhm;Altenheim;48.46532;7.81765
31;Altenschwand;Altenschwand;47.6368641;7.9758651
32;Altenweg;Altenweg;47.90947;8.15142
33;Altglashütte;Altglashütte;48.00102;8.13796
34;Altglashütten;Altglashütten;47.85602;8.1113
35;Althm (Buchen);Altheim (Buchen);49.52055;9.44333
36;Althm (Meßk.);Altheim (Meßk.);47.99521;9.03437
36;Althm (Meßk.);Altheim (Meßk.);47.99521;9.03437
37;Althm (Überlgn);Altheim (Überlgn);47.82636;9.25463
38;Altlußhm;Altlußheim;49.3004929;8.4981809
